* Currently node departure ,arrival and passing time after scheduling
* Node ID, Departure Time (sec), Arrival Time (sec), Passing Time (sec)
G202,0,0,0
G203,0,0,0
G204,0,0,0
G205,73980,68504,0
G206,0,0,0
G207,0,0,0
G208,0,0,0
G209,0,0,0
G210,0,0,0
G211,0,0,0
G212,0,0,0
G213,0,0,0
G214,0,0,0
G215,0,0,0
G221,0,0,0
G222,21180,0,0
G223,0,0,0
G224,0,0,0
G225,0,0,0
G226,0,0,0
G227,0,0,0
G228,0,0,0
G229,0,0,0
G230,0,0,0
G231,0,0,0
G232,0,0,0
G233,0,0,0
G234,0,0,0
G300,0,0,0
G301,0,0,0
G305,0,0,0
G311,0,0,0
G314,0,0,0
G315,0,0,0
G328,0,0,0
G329,0,0,0
G615,660,4305,0
G615,4306,11025,0
G615,6120,16185,0
G615,12180,20105,0
G615,12360,23325,0
G615,18240,23865,0
G615,23866,24977,0
G615,32340,26265,0
G615,32640,27605,0
G615,35880,27725,0
G615,40939,28365,0
G615,41299,28725,0
G615,41599,30165,0
G615,42019,30345,0
G615,46066,30945,0
G615,47040,31065,0
G615,48900,31725,0
G615,50850,38025,0
G615,50924,38565,0
G615,51360,39465,0
G615,76320,39885,0
G615,78540,45765,0
G615,78660,45945,0
G615,79140,46065,0
G615,79980,50011,0
G615,80580,50849,0
G615,81226,54945,0
G615,81299,57045,0
G615,81894,61605,0
G615,81967,63045,0
G615,82087,63345,0
G615,82727,67305,0
G615,82847,68085,0
G615,83520,69705,0
G615,83880,71205,0
G615,84240,71985,0
G615,84420,72285,0
G615,85260,73305,0
G615,0,74745,0
G615,0,81225,0
G615,0,81893,0
G644,4380,1228,0
G644,6000,3448,0
G644,18360,13768,0
G644,19740,15568,0
G644,26220,27748,0
G644,43680,35848,0
G644,65160,41008,0
G644,83220,42618,0
G644,84060,75208,0
G644,0,86728,0
N1,0,0,0
N2,0,0,0
N3,0,0,918
N3,0,0,3138
N3,0,0,3738
N3,0,0,10458
N3,0,0,13458
N3,0,0,15258
N3,0,0,15618
N3,0,0,19539
