* Link capacity after scheduling
* Link ID, Time (sec), Max Capacity, Count
gate17,80446,1,1
gate17,80509,1,0
gate17,82800,1,0
gate18,0,2,0
gate18,3600,2,0
gate18,7200,2,0
gate18,10800,2,0
gate18,14400,2,0
gate18,18000,2,0
gate18,21600,2,0
gate18,22395,2,-1
gate18,22463,2,0
gate18,25200,2,0
gate18,28800,2,0
gate18,30049,2,1
gate18,30128,2,0
gate18,32400,2,0
gate18,35960,2,1
gate18,36000,2,1
gate18,36039,2,0
gate18,39600,2,0
gate18,41396,2,1
gate18,41476,2,0
gate18,43200,2,0
gate18,45375,2,-1
gate18,45443,2,0
gate18,46800,2,0
gate18,50400,2,0
gate18,54000,2,0
gate18,55976,2,1
gate18,56056,2,0
gate18,57600,2,0
gate18,60195,2,-1
gate18,60263,2,0
gate18,61200,2,0
gate18,64800,2,0
gate18,68400,2,0
gate18,70335,2,1
gate18,70415,2,0
gate18,70695,2,-1
gate18,70763,2,0
gate18,72000,2,0
gate18,75600,2,0
gate18,79200,2,0
gate18,82800,2,0
gate19,0,2,0
gate19,3600,2,0
gate19,7200,2,0
gate19,10800,2,0
gate19,14400,2,0
gate19,18000,2,0
gate19,18555,2,-1
gate19,18636,2,0
gate19,21600,2,0
gate19,23737,2,-1
gate19,23818,2,0
gate19,25200,2,0
gate19,28800,2,0
gate19,32400,2,0
gate19,34032,2,1
gate19,34126,2,0
gate19,36000,2,0
gate19,39600,2,0
gate19,43200,2,0
gate19,46800,2,0
gate19,50400,2,0
gate19,54000,2,0
gate19,57600,2,0
gate19,61200,2,0
gate19,61657,2,-1
gate19,61738,2,0
gate19,64800,2,0
gate19,68400,2,0
gate19,69240,2,1
gate19,69320,2,0
gate19,72000,2,0
gate19,75600,2,0
gate19,79200,2,0
gate19,82800,2,0
gate20,0,2,0
gate20,3600,2,0
gate20,7200,2,0
gate20,10800,2,0
gate20,14400,2,0
gate20,18000,2,0
gate20,20796,2,-1
gate20,20899,2,0
gate20,21600,2,0
gate20,25200,2,0
gate20,28800,2,0
gate20,29888,2,1
gate20,30008,2,0
gate20,32400,2,0
gate20,35005,2,1
gate20,35125,2,0
gate20,36000,2,0
gate20,39600,2,0
gate20,43200,2,0
gate20,46800,2,0
gate20,47352,2,1
gate20,47472,2,0
gate20,50400,2,0
gate20,50760,2,-1
gate20,50863,2,0
gate20,54000,2,0
gate20,57496,2,1
gate20,57600,2,1
gate20,57616,2,0
gate20,61200,2,0
gate20,64800,2,1
gate20,64903,2,0
gate20,68400,2,0
gate20,70800,2,1
gate20,70903,2,0
gate20,72000,2,0
gate20,75600,2,0
gate20,77928,2,1
gate20,78048,2,0
gate20,78555,2,-1
gate20,78659,2,0
gate20,79200,2,0
gate20,82800,2,0
gate21,0,3,0
gate21,3600,3,0
gate21,7200,3,0
gate21,10800,3,0
gate21,14400,3,0
gate21,18000,3,0
gate21,19776,3,-1
gate21,19900,3,0
gate21,21600,3,0
gate21,25200,3,0
gate21,28800,3,0
gate21,32400,3,0
gate21,36000,3,0
gate21,39076,3,1
gate21,39220,3,0
gate21,39600,3,0
gate21,43200,3,0
gate21,43357,3,-1
gate21,43482,3,0
gate21,46800,3,0
gate21,49920,3,1
gate21,50044,3,0
gate21,50400,3,0
gate21,53799,3,-1
gate21,53924,3,0
gate21,54000,3,0
gate21,57600,3,0
gate21,61200,3,0
gate21,64200,3,1
gate21,64324,3,0
gate21,64800,3,0
gate21,68400,3,0
gate21,71484,3,1
gate21,71628,3,0
gate21,72000,3,0
gate21,75600,3,0
gate21,79200,3,0
gate21,79345,3,1
gate21,79489,3,0
gate21,80535,3,-1
gate21,80660,3,0
gate21,82800,3,0
gate22,0,3,0
gate22,3600,3,0
gate22,7200,3,0
gate22,10800,3,0
gate22,14400,3,0
gate22,17595,3,-1
gate22,17739,3,0
gate22,18000,3,0
gate22,21600,3,0
gate22,24637,3,-1
gate22,24781,3,0
gate22,25200,3,0
gate22,28800,3,0
gate22,32400,3,0
gate22,33541,3,-1
gate22,33685,3,0
gate22,34044,3,1
gate22,34212,3,0
gate22,36000,3,0
gate22,39600,3,0
gate22,43200,3,0
gate22,46800,3,0
gate22,47640,3,1
gate22,47784,3,0
gate22,50400,3,0
gate22,51375,3,-1
gate22,51519,3,0
gate22,54000,3,0
gate22,57600,3,0
gate22,58487,3,1
gate22,58654,3,0
gate22,59955,3,-1
gate22,60099,3,0
gate22,61200,3,0
gate22,64800,3,0
gate22,68400,3,0
gate22,70560,3,1
gate22,70708,3,0
gate22,72000,3,0
gate22,75600,3,0
gate22,76305,3,1
gate22,76472,3,0
gate22,79200,3,0
gate22,82800,3,0
gate23,0,3,0
gate23,2235,3,-1
gate23,2390,3,0
gate23,3600,3,0
gate23,7200,3,0
gate23,10800,3,0
gate23,14400,3,0
gate23,18000,3,0
gate23,21600,3,0
gate23,25200,3,0
gate23,28800,3,0
gate23,30960,3,1
gate23,31114,3,0
gate23,32400,3,0
gate23,36000,3,0
gate23,37860,3,1
gate23,38034,3,0
gate23,39600,3,0
gate23,42967,3,-1
gate23,43122,3,0
gate23,43200,3,0
gate23,46800,3,0
gate23,48540,3,1
gate23,48694,3,0
gate23,50400,3,0
gate23,51771,3,-1
gate23,51926,3,0
gate23,54000,3,0
gate23,57600,3,0
gate23,59437,3,-1
gate23,59592,3,0
gate23,61200,3,0
gate23,64800,3,0
gate23,68400,3,0
gate23,68700,3,1
gate23,68854,3,0
gate23,71655,3,-1
gate23,71810,3,0
gate23,72000,3,0
gate23,75600,3,0
gate23,78195,3,-1
gate23,78350,3,0
gate23,79200,3,0
gate23,82605,3,1
