* Links in RKSI,,,,,,
* Type,ID,Node1,Node2,Ground Speed in knots,,
Taxi,Tx120,N80,N90,15,,
Taxi,Tx121,N90,N94,15,,
Taxi,Tx122,N94,N104,15,,
Taxi,Tx123,N81,N91,15,,
Taxi,Tx124,N82,N89,15,,
Taxi,Tx125,N89,N92,15,,
Taxi,Tx126,N95,N105,15,,
Taxi,Tx127,N96,N98,15,,
Taxi,Tx128,N91,N95,15,,
Taxi,Tx129,N92,N96,15,,
Taxi,Tx130,N98,N107,15,,
Taxi,Tx131,N99,N121,15,,
Taxi,Tx132,N100,N122,15,,
Taxi,Tx133,N101,N123,15,,
Taxi,Tx134,N102,N124,15,,
Taxi,Tx135,N106,N125,15,,
Taxi,Tx136,N108,N126,15,,
Taxi,Tx137,N111,N127,15,,
Taxi,Tx138,N112,N128,15,,
Taxi,Tx139,N114,N115,15,,
Taxi,Tx140,N115,N116,15,,
Taxi,Tx141,N116,N117,15,,
Taxi,Tx142,N117,N118,15,,
Taxi,Tx143,N118,N119,15,,
Taxi,Tx144,N119,N120,15,,
Taxi,Tx145,N120,N121,15,,
Taxi,Tx146,N121,N122,15,,
Taxi,Tx147,N122,N123,15,,
Taxi,Tx148,N123,N124,15,,
Taxi,Tx149,N124,N125,15,,
Taxi,Tx150,N125,N126,15,,
Taxi,Tx151,N126,N127,15,,
Taxi,Tx152,N127,N128,15,,
Taxi,Tx153,N114,N129,15,,
Taxi,Tx154,N115,N130,15,,
Taxi,Tx155,N116,N131,15,,
Taxi,Tx156,N117,N132,15,,
Taxi,Tx157,N118,N134,15,,
Taxi,Tx158,N119,N135,15,,
Taxi,Tx159,N120,N136,15,,
Taxi,Tx160,N121,N137,15,,
Taxi,Tx161,N122,N139,15,,
Taxi,Tx162,N123,N141,15,,
Taxi,Tx163,N124,N142,15,,
Taxi,Tx164,N125,N144,15,,
Taxi,Tx165,N126,N146,15,,
Taxi,Tx166,N127,N147,15,,
Taxi,Tx167,N128,N148,15,,
Taxi,Tx168,N129,N130,15,,
Taxi,Tx169,N130,N131,15,,
Taxi,Tx170,N131,N132,15,,
Taxi,Tx171,N132,N133,15,,
Taxi,Tx172,N133,N134,15,,
Taxi,Tx173,N134,N135,15,,
Taxi,Tx174,N135,N136,15,,
Taxi,Tx175,N136,N137,15,,
Taxi,Tx176,N137,N138,15,,
Taxi,Tx177,N138,N139,15,,
Taxi,Tx178,N139,N140,15,,
Taxi,Tx179,N140,N141,15,,
Taxi,Tx180,N141,N142,15,,
Taxi,Tx181,N142,N143,15,,
Taxi,Tx182,N143,N144,15,,
Taxi,Tx183,N144,N145,15,,
Taxi,Tx184,N145,N146,15,,
Taxi,Tx185,N146,N147,15,,
Taxi,Tx186,N147,N148,15,,
Taxi,Tx187,N129,16,15,,
Taxi,Tx188,N130,N149,15,,
Taxi,Tx189,N131,N150,15,,
Taxi,Tx190,N133,N151,15,,
Taxi,Tx191,N134,N152,15,,
Taxi,Tx192,N135,N153,15,,
Taxi,Tx193,N138,N154,15,,
Taxi,Tx194,N140,N155,15,,
Taxi,Tx195,N143,N156,15,,
Taxi,Tx196,N145,N157,15,,
Taxi,Tx197,N147,N158,15,,
Taxi,Tx198,N148,34,15,,
Taxi,Tx199,N58,N116,15,,
Taxi,Tx200,N59,N117,15,,
RWY15L/33R,Rwy1,15L,N6,35,,
RWY15L/33R,Rwy2,N6,N7,35,,
RWY15L/33R,Rwy3,N7,N8,35,,
RWY15L/33R,Rwy4,N8,N9,35,,
RWY15L/33R,Rwy5,N9,N10,35,,
RWY15L/33R,Rwy6,N10,N11,35,,
RWY15L/33R,Rwy7,N11,33R,35,,
RWY15R/33L,Rwy8,15R,N21,35,,
RWY15R/33L,Rwy9,N21,N22,35,,
RWY15R/33L,Rwy10,N22,N23,35,,
RWY15R/33L,Rwy11,N23,N24,35,,
RWY15R/33L,Rwy12,N24,N25,35,,
RWY15R/33L,Rwy13,N25,N26,35,,
RWY15R/33L,Rwy14,N26,N27,35,,
RWY15R/33L,Rwy15,N27,N28,35,,
RWY15R/33L,Rwy16,N28,N29,35,,
RWY15R/33L,Rwy17,N29,33L,35,,
RWY16/34,Rwy18,16,N149,35,,
RWY16/35,Rwy19,N149,N150,35,,
RWY16/36,Rwy20,N150,N151,35,,
RWY16/37,Rwy21,N151,N152,35,,
RWY16/38,Rwy22,N152,N153,35,,
RWY16/39,Rwy23,N153,N154,35,,
RWY16/40,Rwy24,N154,N155,35,,
RWY16/41,Rwy25,N155,N156,35,,
RWY16/42,Rwy26,N156,N157,35,,
RWY16/43,Rwy27,N157,N158,35,,
RWY16/44,Rwy28,N158,34,35,,
