* Scheduled routes in the airport surface,,,,,,,,,,,,,,
* Index,Flight ID,Address,Aircraft Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%)
17,KAL1460,HL7766,B772,H,DEP,N,21454,21484,30,Tx93,Tx94,Tx95,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21484,21496,12,Tx94,Tx95,Tx77,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21496,21511,15,Tx95,Tx77,Tx43,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21511,21534,23,Tx43,33L,XXXX,5,10
18,CKK258,B2076,B77L,H,DEP,N,23460,23743,283,XXXX,G615,gate112,5,10
18,CKK258,B2076,B77L,H,DEP,N,23743,23771,28,gate112,Tx10,Tx18,5,10
18,CKK258,B2076,B77L,H,DEP,N,23771,23795,24,Tx10,Tx18,Tx27,5,10
18,CKK258,B2076,B77L,H,DEP,N,23795,23879,84,Tx18,Tx27,Tx32,5,10
18,CKK258,B2076,B77L,H,DEP,N,23879,23908,29,Tx32,33L,XXXX,5,10
19,AIH231,HL8271,B734,M,DEP,N,26220,26387,167,XXXX,G644,gate113,5,10
19,AIH231,HL8271,B734,M,DEP,N,26387,26541,154,gate113,Tx4,Tx10,5,10
19,AIH231,HL8271,B734,M,DEP,N,26541,26569,28,Tx4,Tx10,Tx18,5,10
19,AIH231,HL8271,B734,M,DEP,N,26569,26593,24,Tx10,Tx18,Tx27,5,10
19,AIH231,HL8271,B734,M,DEP,N,26593,26677,84,Tx18,Tx27,Tx32,5,10
19,AIH231,HL8271,B734,M,DEP,N,26677,26706,29,Tx32,33L,XXXX,5,10
20,CEB079,RPC3271,A320,M,DEP,N,28920,28981,61,XXXX,G117,gate52,5,10
20,CEB079,RPC3271,A320,M,DEP,N,28981,28994,13,gate52,Tx213,Tx214,5,10
20,CEB079,RPC3271,A320,M,DEP,N,28994,29006,12,Tx213,Tx214,Tx125,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29006,29032,26,Tx214,Tx125,Tx212,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29032,29059,27,Tx125,Tx212,Tx210,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29059,29073,14,Tx212,Tx210,Tx211,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29073,29090,17,Tx210,Tx211,Tx107,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29090,29119,29,Tx211,Tx107,Tx105,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29119,29134,15,Tx107,Tx105,Tx95,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29134,29146,12,Tx105,Tx95,Tx77,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29146,29161,15,Tx95,Tx77,Tx43,5,10
20,CEB079,RPC3271,A320,M,DEP,N,29161,29184,23,Tx43,33L,XXXX,5,10
21,TWB281,HL8000,B738,M,DEP,N,29040,29119,79,XXXX,G128,gate73,5,10
21,TWB281,HL8000,B738,M,DEP,N,29119,29158,39,gate73,Tx228,Tx217,5,10
21,TWB281,HL8000,B738,M,DEP,N,29158,29173,15,Tx228,Tx217,Tx126,5,10
21,TWB281,HL8000,B738,M,DEP,N,29173,29224,51,Tx217,Tx126,Tx128,5,10
21,TWB281,HL8000,B738,M,DEP,N,29224,29262,38,Tx126,Tx128,Tx214,5,10
21,TWB281,HL8000,B738,M,DEP,N,29262,29274,12,Tx128,Tx214,Tx125,5,10
21,TWB281,HL8000,B738,M,DEP,N,29274,29300,26,Tx214,Tx125,Tx212,5,10
21,TWB281,HL8000,B738,M,DEP,N,29300,29327,27,Tx125,Tx212,Tx210,5,10
21,TWB281,HL8000,B738,M,DEP,N,29327,29341,14,Tx212,Tx210,Tx211,5,10
21,TWB281,HL8000,B738,M,DEP,N,29341,29358,17,Tx210,Tx211,Tx107,5,10
21,TWB281,HL8000,B738,M,DEP,N,29358,29387,29,Tx211,Tx107,Tx105,5,10
21,TWB281,HL8000,B738,M,DEP,N,29387,29402,15,Tx107,Tx105,Tx95,5,10
21,TWB281,HL8000,B738,M,DEP,N,29402,29414,12,Tx105,Tx95,Tx77,5,10
21,TWB281,HL8000,B738,M,DEP,N,29414,29429,15,Tx95,Tx77,Tx43,5,10
21,TWB281,HL8000,B738,M,DEP,N,29429,29452,23,Tx43,33L,XXXX,5,10
22,ESR601,HL8023,B738,M,DEP,N,29160,29241,81,XXXX,G112,gate67,5,10
22,ESR601,HL8023,B738,M,DEP,N,29241,29318,77,gate67,Tx114,Tx205,5,10
22,ESR601,HL8023,B738,M,DEP,N,29318,29350,32,Tx114,Tx205,Tx206,5,10
22,ESR601,HL8023,B738,M,DEP,N,29350,29361,11,Tx205,Tx206,Tx207,5,10
22,ESR601,HL8023,B738,M,DEP,N,29361,29374,13,Tx206,Tx207,Tx102,5,10
22,ESR601,HL8023,B738,M,DEP,N,29374,29398,24,Tx207,Tx102,Tx92,5,10
22,ESR601,HL8023,B738,M,DEP,N,29398,29410,12,Tx102,Tx92,Tx93,5,10
22,ESR601,HL8023,B738,M,DEP,N,29410,29444,34,Tx92,Tx93,Tx94,5,10
22,ESR601,HL8023,B738,M,DEP,N,29444,29474,30,Tx93,Tx94,Tx95,5,10
22,ESR601,HL8023,B738,M,DEP,N,29474,29486,12,Tx94,Tx95,Tx77,5,10
22,ESR601,HL8023,B738,M,DEP,N,29486,29501,15,Tx95,Tx77,Tx43,5,10
22,ESR601,HL8023,B738,M,DEP,N,29501,29524,23,Tx43,33L,XXXX,5,10
23,KAL681,HL8225,B737,M,DEP,N,29580,29632,52,XXXX,G16,gate13,5,10
23,KAL681,HL8225,B737,M,DEP,N,29632,29649,17,gate13,Tx211,Tx107,5,10
23,KAL681,HL8225,B737,M,DEP,N,29649,29678,29,Tx211,Tx107,Tx105,5,10
23,KAL681,HL8225,B737,M,DEP,N,29678,29693,15,Tx107,Tx105,Tx95,5,10
23,KAL681,HL8225,B737,M,DEP,N,29693,29705,12,Tx105,Tx95,Tx77,5,10
23,KAL681,HL8225,B737,M,DEP,N,29705,29720,15,Tx95,Tx77,Tx43,5,10
23,KAL681,HL8225,B737,M,DEP,N,29720,29743,23,Tx43,33L,XXXX,5,10
24,AMU825,BMAF,A321,M,DEP,N,29700,29738,38,XXXX,G121,gate54,5,10
24,AMU825,BMAF,A321,M,DEP,N,29738,29750,12,gate54,Tx215,Tx128,5,10
24,AMU825,BMAF,A321,M,DEP,N,29750,29788,38,Tx215,Tx128,Tx214,5,10
24,AMU825,BMAF,A321,M,DEP,N,29788,29800,12,Tx128,Tx214,Tx125,5,10
24,AMU825,BMAF,A321,M,DEP,N,29800,29826,26,Tx214,Tx125,Tx212,5,10
24,AMU825,BMAF,A321,M,DEP,N,29826,29853,27,Tx125,Tx212,Tx210,5,10
24,AMU825,BMAF,A321,M,DEP,N,29853,29867,14,Tx212,Tx210,Tx211,5,10
24,AMU825,BMAF,A321,M,DEP,N,29867,29884,17,Tx210,Tx211,Tx107,5,10
24,AMU825,BMAF,A321,M,DEP,N,29884,29913,29,Tx211,Tx107,Tx105,5,10
24,AMU825,BMAF,A321,M,DEP,N,29913,29928,15,Tx107,Tx105,Tx95,5,10
24,AMU825,BMAF,A321,M,DEP,N,29928,29940,12,Tx105,Tx95,Tx77,5,10
24,AMU825,BMAF,A321,M,DEP,N,29940,29955,15,Tx95,Tx77,Tx43,5,10
24,AMU825,BMAF,A321,M,DEP,N,29955,29978,23,Tx43,33L,XXXX,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29760,29828,68,XXXX,G102,gate62,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29828,29839,11,gate62,Tx206,Tx207,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29839,29852,13,Tx206,Tx207,Tx102,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29852,29876,24,Tx207,Tx102,Tx92,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29876,29888,12,Tx102,Tx92,Tx93,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29888,29922,34,Tx92,Tx93,Tx94,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29922,29952,30,Tx93,Tx94,Tx95,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29952,29964,12,Tx94,Tx95,Tx77,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29964,29979,15,Tx95,Tx77,Tx43,5,10
25,JJA8801,HL8020,B738,M,DEP,N,29979,30002,23,Tx43,33L,XXXX,5,10
26,KAL621,HL7573,B773,H,DEP,N,29880,29989,109,XXXX,G23,gate20,5,10
26,KAL621,HL7573,B773,H,DEP,N,29989,30015,26,gate20,Tx125,Tx212,5,10
26,KAL621,HL7573,B773,H,DEP,N,30015,30042,27,Tx125,Tx212,Tx210,5,10
26,KAL621,HL7573,B773,H,DEP,N,30042,30056,14,Tx212,Tx210,Tx211,5,10
26,KAL621,HL7573,B773,H,DEP,N,30056,30073,17,Tx210,Tx211,Tx107,5,10
26,KAL621,HL7573,B773,H,DEP,N,30073,30102,29,Tx211,Tx107,Tx105,5,10
26,KAL621,HL7573,B773,H,DEP,N,30102,30117,15,Tx107,Tx105,Tx95,5,10
26,KAL621,HL7573,B773,H,DEP,N,30117,30129,12,Tx105,Tx95,Tx77,5,10
26,KAL621,HL7573,B773,H,DEP,N,30129,30144,15,Tx95,Tx77,Tx43,5,10
26,KAL621,HL7573,B773,H,DEP,N,30144,30167,23,Tx43,33L,XXXX,5,10
27,KAL787,HL7584,A333,H,DEP,N,30000,30072,72,XXXX,G21,gate18,5,10
27,KAL787,HL7584,A333,H,DEP,N,30072,30098,26,gate18,Tx125,Tx212,5,10
27,KAL787,HL7584,A333,H,DEP,N,30098,30125,27,Tx125,Tx212,Tx210,5,10
27,KAL787,HL7584,A333,H,DEP,N,30125,30139,14,Tx212,Tx210,Tx211,5,10
27,KAL787,HL7584,A333,H,DEP,N,30139,30156,17,Tx210,Tx211,Tx107,5,10
27,KAL787,HL7584,A333,H,DEP,N,30156,30185,29,Tx211,Tx107,Tx105,5,10
27,KAL787,HL7584,A333,H,DEP,N,30185,30200,15,Tx107,Tx105,Tx95,5,10
27,KAL787,HL7584,A333,H,DEP,N,30200,30212,12,Tx105,Tx95,Tx77,5,10
27,KAL787,HL7584,A333,H,DEP,N,30212,30227,15,Tx95,Tx77,Tx43,5,10
27,KAL787,HL7584,A333,H,DEP,N,30227,30250,23,Tx43,33L,XXXX,5,10
28,JNA211,HL7555,B738,M,DEP,N,30420,30468,48,XXXX,G131,gate59,5,10
28,JNA211,HL7555,B738,M,DEP,N,30468,30483,15,gate59,Tx217,Tx126,5,10
28,JNA211,HL7555,B738,M,DEP,N,30483,30534,51,Tx217,Tx126,Tx128,5,10
28,JNA211,HL7555,B738,M,DEP,N,30534,30572,38,Tx126,Tx128,Tx214,5,10
28,JNA211,HL7555,B738,M,DEP,N,30572,30584,12,Tx128,Tx214,Tx125,5,10
28,JNA211,HL7555,B738,M,DEP,N,30584,30610,26,Tx214,Tx125,Tx212,5,10
28,JNA211,HL7555,B738,M,DEP,N,30610,30637,27,Tx125,Tx212,Tx210,5,10
28,JNA211,HL7555,B738,M,DEP,N,30637,30651,14,Tx212,Tx210,Tx211,5,10
28,JNA211,HL7555,B738,M,DEP,N,30651,30668,17,Tx210,Tx211,Tx107,5,10
28,JNA211,HL7555,B738,M,DEP,N,30668,30697,29,Tx211,Tx107,Tx105,5,10
28,JNA211,HL7555,B738,M,DEP,N,30697,30712,15,Tx107,Tx105,Tx95,5,10
28,JNA211,HL7555,B738,M,DEP,N,30712,30724,12,Tx105,Tx95,Tx77,5,10
