* Node states in hour
** ID,Day,Time in hour,State
G8,1,22,VMC_NDR_3600_NAR_3600_STD_89
G8,1,23,VMC_NDR_3600_NAR_3600_STD_89
G9,1,0,VMC_NDR_3600_NAR_3600_STD_89
G9,1,1,VMC_NDR_3600_NAR_3600_STD_89
G9,1,2,VMC_NDR_3600_NAR_3600_STD_89
G9,1,3,VMC_NDR_3600_NAR_3600_STD_89
G9,1,4,VMC_NDR_3600_NAR_3600_STD_89
G9,1,5,VMC_NDR_3600_NAR_3600_STD_89
G9,1,6,VMC_NDR_3600_NAR_3600_STD_89
G9,1,7,VMC_NDR_3600_NAR_3600_STD_89
G9,1,8,VMC_NDR_3600_NAR_3600_STD_89
G9,1,9,VMC_NDR_3600_NAR_3600_STD_89
G9,1,10,VMC_NDR_3600_NAR_3600_STD_89
G9,1,11,VMC_NDR_3600_NAR_3600_STD_89
G9,1,12,VMC_NDR_3600_NAR_3600_STD_89
G9,1,13,VMC_NDR_3600_NAR_3600_STD_89
G9,1,14,VMC_NDR_3600_NAR_3600_STD_89
G9,1,15,VMC_NDR_3600_NAR_3600_STD_89
G9,1,16,VMC_NDR_3600_NAR_3600_STD_89
G9,1,17,VMC_NDR_3600_NAR_3600_STD_89
G9,1,18,VMC_NDR_3600_NAR_3600_STD_89
G9,1,19,VMC_NDR_3600_NAR_3600_STD_89
G9,1,20,VMC_NDR_3600_NAR_3600_STD_89
G9,1,21,VMC_NDR_3600_NAR_3600_STD_89
G9,1,22,VMC_NDR_3600_NAR_3600_STD_89
G9,1,23,VMC_NDR_3600_NAR_3600_STD_89
G10,1,0,VMC_NDR_3600_NAR_3600_STD_89
G10,1,1,VMC_NDR_3600_NAR_3600_STD_89
G10,1,2,VMC_NDR_3600_NAR_3600_STD_89
G10,1,3,VMC_NDR_3600_NAR_3600_STD_89
G10,1,4,VMC_NDR_3600_NAR_3600_STD_89
G10,1,5,VMC_NDR_3600_NAR_3600_STD_89
G10,1,6,VMC_NDR_3600_NAR_3600_STD_89
G10,1,7,VMC_NDR_3600_NAR_3600_STD_89
G10,1,8,VMC_NDR_3600_NAR_3600_STD_89
G10,1,9,VMC_NDR_3600_NAR_3600_STD_89
G10,1,10,VMC_NDR_3600_NAR_3600_STD_89
G10,1,11,VMC_NDR_3600_NAR_3600_STD_89
G10,1,12,VMC_NDR_3600_NAR_3600_STD_89
G10,1,13,VMC_NDR_3600_NAR_3600_STD_89
G10,1,14,VMC_NDR_3600_NAR_3600_STD_89
G10,1,15,VMC_NDR_3600_NAR_3600_STD_89
G10,1,16,VMC_NDR_3600_NAR_3600_STD_89
G10,1,17,VMC_NDR_3600_NAR_3600_STD_89
G10,1,18,VMC_NDR_3600_NAR_3600_STD_89
G10,1,19,VMC_NDR_3600_NAR_3600_STD_89
G10,1,20,VMC_NDR_3600_NAR_3600_STD_89
G10,1,21,VMC_NDR_3600_NAR_3600_STD_89
G10,1,22,VMC_NDR_3600_NAR_3600_STD_89
G10,1,23,VMC_NDR_3600_NAR_3600_STD_89
G11,1,0,VMC_NDR_3600_NAR_3600_STD_89
G11,1,1,VMC_NDR_3600_NAR_3600_STD_89
G11,1,2,VMC_NDR_3600_NAR_3600_STD_89
G11,1,3,VMC_NDR_3600_NAR_3600_STD_89
G11,1,4,VMC_NDR_3600_NAR_3600_STD_89
G11,1,5,VMC_NDR_3600_NAR_3600_STD_89
G11,1,6,VMC_NDR_3600_NAR_3600_STD_89
G11,1,7,VMC_NDR_3600_NAR_3600_STD_89
G11,1,8,VMC_NDR_3600_NAR_3600_STD_89
G11,1,9,VMC_NDR_3600_NAR_3600_STD_89
G11,1,10,VMC_NDR_3600_NAR_3600_STD_89
G11,1,11,VMC_NDR_3600_NAR_3600_STD_89
G11,1,12,VMC_NDR_3600_NAR_3600_STD_89
G11,1,13,VMC_NDR_3600_NAR_3600_STD_89
G11,1,14,VMC_NDR_3600_NAR_3600_STD_89
G11,1,15,VMC_NDR_3600_NAR_3600_STD_89
G11,1,16,VMC_NDR_3600_NAR_3600_STD_89
G11,1,17,VMC_NDR_3600_NAR_3600_STD_89
G11,1,18,VMC_NDR_3600_NAR_3600_STD_89
G11,1,19,VMC_NDR_3600_NAR_3600_STD_89
G11,1,20,VMC_NDR_3600_NAR_3600_STD_89
G11,1,21,VMC_NDR_3600_NAR_3600_STD_89
G11,1,22,VMC_NDR_3600_NAR_3600_STD_89
G11,1,23,VMC_NDR_3600_NAR_3600_STD_89
G12,1,0,VMC_NDR_3600_NAR_3600_STD_89
G12,1,1,VMC_NDR_3600_NAR_3600_STD_89
G12,1,2,VMC_NDR_3600_NAR_3600_STD_89
G12,1,3,VMC_NDR_3600_NAR_3600_STD_89
G12,1,4,VMC_NDR_3600_NAR_3600_STD_89
G12,1,5,VMC_NDR_3600_NAR_3600_STD_89
G12,1,6,VMC_NDR_3600_NAR_3600_STD_89
G12,1,7,VMC_NDR_3600_NAR_3600_STD_89
G12,1,8,VMC_NDR_3600_NAR_3600_STD_89
G12,1,9,VMC_NDR_3600_NAR_3600_STD_89
G12,1,10,VMC_NDR_3600_NAR_3600_STD_89
G12,1,11,VMC_NDR_3600_NAR_3600_STD_89
G12,1,12,VMC_NDR_3600_NAR_3600_STD_89
G12,1,13,VMC_NDR_3600_NAR_3600_STD_89
G12,1,14,VMC_NDR_3600_NAR_3600_STD_89
G12,1,15,VMC_NDR_3600_NAR_3600_STD_89
G12,1,16,VMC_NDR_3600_NAR_3600_STD_89
G12,1,17,VMC_NDR_3600_NAR_3600_STD_89
G12,1,18,VMC_NDR_3600_NAR_3600_STD_89
G12,1,19,VMC_NDR_3600_NAR_3600_STD_89
G12,1,20,VMC_NDR_3600_NAR_3600_STD_89
G12,1,21,VMC_NDR_3600_NAR_3600_STD_89
G12,1,22,VMC_NDR_3600_NAR_3600_STD_89
G12,1,23,VMC_NDR_3600_NAR_3600_STD_89
G14,1,0,VMC_NDR_3600_NAR_3600_STD_89
G14,1,1,VMC_NDR_3600_NAR_3600_STD_89
G14,1,2,VMC_NDR_3600_NAR_3600_STD_89
G14,1,3,VMC_NDR_3600_NAR_3600_STD_89
G14,1,4,VMC_NDR_3600_NAR_3600_STD_89
G14,1,5,VMC_NDR_3600_NAR_3600_STD_89
G14,1,6,VMC_NDR_3600_NAR_3600_STD_89
G14,1,7,VMC_NDR_3600_NAR_3600_STD_89
G14,1,8,VMC_NDR_3600_NAR_3600_STD_89
G14,1,9,VMC_NDR_3600_NAR_3600_STD_89
G14,1,10,VMC_NDR_3600_NAR_3600_STD_89
G14,1,11,VMC_NDR_3600_NAR_3600_STD_89
G14,1,12,VMC_NDR_3600_NAR_3600_STD_89
G14,1,13,VMC_NDR_3600_NAR_3600_STD_89
G14,1,14,VMC_NDR_3600_NAR_3600_STD_89
G14,1,15,VMC_NDR_3600_NAR_3600_STD_89
G14,1,16,VMC_NDR_3600_NAR_3600_STD_89
G14,1,17,VMC_NDR_3600_NAR_3600_STD_89
G14,1,18,VMC_NDR_3600_NAR_3600_STD_89
G14,1,19,VMC_NDR_3600_NAR_3600_STD_89
G14,1,20,VMC_NDR_3600_NAR_3600_STD_89
G14,1,21,VMC_NDR_3600_NAR_3600_STD_89
G14,1,22,VMC_NDR_3600_NAR_3600_STD_89
G14,1,23,VMC_NDR_3600_NAR_3600_STD_89
G15,1,0,VMC_NDR_3600_NAR_3600_STD_89
G15,1,1,VMC_NDR_3600_NAR_3600_STD_89
G15,1,2,VMC_NDR_3600_NAR_3600_STD_89
G15,1,3,VMC_NDR_3600_NAR_3600_STD_89
G15,1,4,VMC_NDR_3600_NAR_3600_STD_89
G15,1,5,VMC_NDR_3600_NAR_3600_STD_89
G15,1,6,VMC_NDR_3600_NAR_3600_STD_89
G15,1,7,VMC_NDR_3600_NAR_3600_STD_89
