* Link states in hour
** ID,Day,Time in hour,State
gate25,1,1,DEFAULT
gate25,1,2,DEFAULT
gate25,1,3,DEFAULT
gate25,1,4,DEFAULT
gate25,1,5,DEFAULT
gate25,1,6,DEFAULT
gate25,1,7,DEFAULT
gate25,1,8,DEFAULT
gate25,1,9,DEFAULT
gate25,1,10,DEFAULT
gate25,1,11,DEFAULT
gate25,1,12,DEFAULT
gate25,1,13,DEFAULT
gate25,1,14,DEFAULT
gate25,1,15,DEFAULT
gate25,1,16,DEFAULT
gate25,1,17,DEFAULT
gate25,1,18,DEFAULT
gate25,1,19,DEFAULT
gate25,1,20,DEFAULT
gate25,1,21,DEFAULT
gate25,1,22,DEFAULT
gate25,1,23,DEFAULT
gate26,1,0,DEFAULT
gate26,1,1,DEFAULT
gate26,1,2,DEFAULT
gate26,1,3,DEFAULT
gate26,1,4,DEFAULT
gate26,1,5,DEFAULT
gate26,1,6,DEFAULT
gate26,1,7,DEFAULT
gate26,1,8,DEFAULT
gate26,1,9,DEFAULT
gate26,1,10,DEFAULT
gate26,1,11,DEFAULT
gate26,1,12,DEFAULT
gate26,1,13,DEFAULT
gate26,1,14,DEFAULT
gate26,1,15,DEFAULT
gate26,1,16,DEFAULT
gate26,1,17,DEFAULT
gate26,1,18,DEFAULT
gate26,1,19,DEFAULT
gate26,1,20,DEFAULT
gate26,1,21,DEFAULT
gate26,1,22,DEFAULT
gate26,1,23,DEFAULT
gate27,1,0,DEFAULT
gate27,1,1,DEFAULT
gate27,1,2,DEFAULT
gate27,1,3,DEFAULT
gate27,1,4,DEFAULT
gate27,1,5,DEFAULT
gate27,1,6,DEFAULT
gate27,1,7,DEFAULT
gate27,1,8,DEFAULT
gate27,1,9,DEFAULT
gate27,1,10,DEFAULT
gate27,1,11,DEFAULT
gate27,1,12,DEFAULT
gate27,1,13,DEFAULT
gate27,1,14,DEFAULT
gate27,1,15,DEFAULT
gate27,1,16,DEFAULT
gate27,1,17,DEFAULT
gate27,1,18,DEFAULT
gate27,1,19,DEFAULT
gate27,1,20,DEFAULT
gate27,1,21,DEFAULT
gate27,1,22,DEFAULT
gate27,1,23,DEFAULT
gate28,1,0,DEFAULT
gate28,1,1,DEFAULT
gate28,1,2,DEFAULT
gate28,1,3,DEFAULT
gate28,1,4,DEFAULT
gate28,1,5,DEFAULT
gate28,1,6,DEFAULT
gate28,1,7,DEFAULT
gate28,1,8,DEFAULT
gate28,1,9,DEFAULT
gate28,1,10,DEFAULT
gate28,1,11,DEFAULT
gate28,1,12,DEFAULT
gate28,1,13,DEFAULT
gate28,1,14,DEFAULT
gate28,1,15,DEFAULT
gate28,1,16,DEFAULT
gate28,1,17,DEFAULT
gate28,1,18,DEFAULT
gate28,1,19,DEFAULT
gate28,1,20,DEFAULT
gate28,1,21,DEFAULT
gate28,1,22,DEFAULT
gate28,1,23,DEFAULT
gate29,1,0,DEFAULT
gate29,1,1,DEFAULT
gate29,1,2,DEFAULT
gate29,1,3,DEFAULT
gate29,1,4,DEFAULT
gate29,1,5,DEFAULT
gate29,1,6,DEFAULT
gate29,1,7,DEFAULT
gate29,1,8,DEFAULT
gate29,1,9,DEFAULT
gate29,1,10,DEFAULT
gate29,1,11,DEFAULT
gate29,1,12,DEFAULT
gate29,1,13,DEFAULT
gate29,1,14,DEFAULT
gate29,1,15,DEFAULT
gate29,1,16,DEFAULT
gate29,1,17,DEFAULT
gate29,1,18,DEFAULT
gate29,1,19,DEFAULT
gate29,1,20,DEFAULT
gate29,1,21,DEFAULT
gate29,1,22,DEFAULT
gate29,1,23,DEFAULT
gate30,1,0,DEFAULT
gate30,1,1,DEFAULT
gate30,1,2,DEFAULT
gate30,1,3,DEFAULT
gate30,1,4,DEFAULT
gate30,1,5,DEFAULT
gate30,1,6,DEFAULT
gate30,1,7,DEFAULT
gate30,1,8,DEFAULT
gate30,1,9,DEFAULT
gate30,1,10,DEFAULT
gate30,1,11,DEFAULT
gate30,1,12,DEFAULT
gate30,1,13,DEFAULT
gate30,1,14,DEFAULT
gate30,1,15,DEFAULT
gate30,1,16,DEFAULT
gate30,1,17,DEFAULT
gate30,1,18,DEFAULT
gate30,1,19,DEFAULT
gate30,1,20,DEFAULT
gate30,1,21,DEFAULT
gate30,1,22,DEFAULT
gate30,1,23,DEFAULT
gate31,1,0,DEFAULT
gate31,1,1,DEFAULT
gate31,1,2,DEFAULT
gate31,1,3,DEFAULT
gate31,1,4,DEFAULT
gate31,1,5,DEFAULT
gate31,1,6,DEFAULT
gate31,1,7,DEFAULT
gate31,1,8,DEFAULT
gate31,1,9,DEFAULT
gate31,1,10,DEFAULT
gate31,1,11,DEFAULT
gate31,1,12,DEFAULT
gate31,1,13,DEFAULT
gate31,1,14,DEFAULT
gate31,1,15,DEFAULT
gate31,1,16,DEFAULT
gate31,1,17,DEFAULT
gate31,1,18,DEFAULT
gate31,1,19,DEFAULT
gate31,1,20,DEFAULT
gate31,1,21,DEFAULT
gate31,1,22,DEFAULT
gate31,1,23,DEFAULT
gate32,1,0,DEFAULT
gate32,1,1,DEFAULT
gate32,1,2,DEFAULT
gate32,1,3,DEFAULT
gate32,1,4,DEFAULT
gate32,1,5,DEFAULT
gate32,1,6,DEFAULT
gate32,1,7,DEFAULT
gate32,1,8,DEFAULT
gate32,1,9,DEFAULT
gate32,1,10,DEFAULT
gate32,1,11,DEFAULT
gate32,1,12,DEFAULT
gate32,1,13,DEFAULT
gate32,1,14,DEFAULT
gate32,1,15,DEFAULT
gate32,1,16,DEFAULT
gate32,1,17,DEFAULT
gate32,1,18,DEFAULT
gate32,1,19,DEFAULT
gate32,1,20,DEFAULT
gate32,1,21,DEFAULT
gate32,1,22,DEFAULT
gate32,1,23,DEFAULT
gate33,1,0,DEFAULT
gate33,1,1,DEFAULT
gate33,1,2,DEFAULT
gate33,1,3,DEFAULT
gate33,1,4,DEFAULT
gate33,1,5,DEFAULT
gate33,1,6,DEFAULT
gate33,1,7,DEFAULT
gate33,1,8,DEFAULT
gate33,1,9,DEFAULT
gate33,1,10,DEFAULT
gate33,1,11,DEFAULT
gate33,1,12,DEFAULT
gate33,1,13,DEFAULT
gate33,1,14,DEFAULT
gate33,1,15,DEFAULT
gate33,1,16,DEFAULT
gate33,1,17,DEFAULT
gate33,1,18,DEFAULT
gate33,1,19,DEFAULT
gate33,1,20,DEFAULT
gate33,1,21,DEFAULT
gate33,1,22,DEFAULT
gate33,1,23,DEFAULT
gate34,1,0,DEFAULT
gate34,1,1,DEFAULT
gate34,1,2,DEFAULT
gate34,1,3,DEFAULT
gate34,1,4,DEFAULT
gate34,1,5,DEFAULT
gate34,1,6,DEFAULT
gate34,1,7,DEFAULT
gate34,1,8,DEFAULT
gate34,1,9,DEFAULT
gate34,1,10,DEFAULT
gate34,1,11,DEFAULT
gate34,1,12,DEFAULT
